district,net,D,D vote,R,R vote
AR-3,-35.2,Lauren Mallett-Hays,30.6,Steve Womack,65.8
UT-1,-34.9,Rick Edwin Jones,32.5,Blake D. Moore,67.5
IL-16,-34.8,Elizabeth Haderlein,32.6,Darin LaHood,67.4
IA-4,-34.6,Ryan Melton,31.0,Randy Feenstra,65.7
ID-2,-34.6,Wendy Norman,32.7,Mike Simpson,67.3
NJ-4,-34.5,Matthew Jenkins,30.8,Christopher H. Smith,65.2
VA-6,-34.3,Jennifer Lynn Lewis,32.8,Ben L. Cline,67.2
WA-4,-34.3,Doug White,32.8,Dan Newhouse,67.2
WI-5,-33.6,Mike Van Someren,33.2,Scott Fitzgerald,66.8
TX-12,-33.5,Trey J. Hunt,33.2,Kay Granger,66.8
WV-2,-33.4,Barry Lee Wendell,33.3,Alexander X. Mooney,66.7
OK-1,-32.9,Adam Martin,31.9,Kevin Hern,64.8
FL-19,-32.6,Cindy Banyai,33.7,Byron Donalds,66.3
MI-5,-32.4,Bart Goldberg,32.1,Tim Walberg,64.5
KY-4,-32.4,Matthew Lehman,32.3,Thomas Massie,64.6
TX-2,-32.3,Robin Fulford,33.8,Dan Crenshaw,66.2
TX-17,-32.0,Mary Jo Woods,34.0,Pete Sessions,66.0
NC-5,-31.9,Kyle Parrish,34.0,Virginia Foxx,66.0
WI-7,-31.9,Richard Dick Ausman,34.1,Tom Tiffany,65.9
FL-8,-31.9,Joanne Terry,34.1,Bill Posey,65.9
TX-5,-31.7,Tartisha Hill,32.7,Lance Gooden,64.4
SC-5,-31.6,Evangeline Hundley,32.8,Ralph Norman,64.4
IN-9,-31.5,Matthew Fyfe,32.3,Erin Houchin,63.8
SC-7,-31.2,Daryl W. Scott,34.4,Russell Fry,65.6
UT-3,-30.5,Glenn J. Wright,29.6,John Curtis,60.1
MN-6,-30.3,Jeanne Hendricks,34.9,Tom Emmer,65.1
PA-11,-29.9,Bob Hollister,35.1,Lloyd K. Smucker,64.9
FL-17,-29.5,Andrea Doria Kale,33.9,Greg Steube,63.4
TX-8,-29.4,Laura Jones,33.6,Morgan Luttrell,63.0
FL-1,-29.4,Rebekah Jones,35.3,Matt Gaetz,64.7
MT-2,-29.2,Penny Ronning,31.4,Matt Rosendale,60.7
FL-11,-29.0,Shante Munns,34.2,Daniel Webster,63.2
GA-11,-28.9,Antonio Daza,35.5,Barry Loudermilk,64.5
TX-22,-28.9,Jamie Kaye Jordan,34.1,Troy E. Nehls,63.0
CO-4,-28.4,Ike McCorkle,34.0,Ken Buck,62.3
TN-7,-28.2,Odessa Kelly,34.4,Mark E. Green,62.6
AZ-5,-28.2,Javier Ramos,34.3,Andy Biggs,62.5
TX-38,-28.0,Duncan F. Klussmann,34.3,Wesley Hunt,62.3
IN-2,-28.0,Paul D. Steury,34.1,Rudolph Yakym,62.1
OH-14,-27.9,Matt Kilboy,36.0,David P. Joyce,64.0
GA-6,-27.8,Bob Christian,36.1,Rich McCormick,63.9
PA-16,-27.8,Dan Pastore,36.1,Mike Kelly,63.9
OK-5,-27.8,Joshua Harris-Till,34.5,Stephanie Bice,62.3
MI-1,-27.8,Bob Lorinser,34.4,Jack Bergman,62.2
TX-10,-27.7,Linda Nuno,34.7,Michael McCaul,62.4
UT-4,-27.7,Darlene McDonald,32.5,Burgess Owens,60.2
FL-26,-27.3,Christine Alexandria Olivo,36.4,Mario Diaz-Balart,63.6
CA-1,-26.9,Max Steiner,36.5,Doug LaMalfa,63.5
IN-5,-26.1,Jeannine Lee Lake,36.9,Victoria Spartz,63.1
AR-2,-26.0,Quintessa Hathaway,35.3,French Hill,61.3
UT-2,-25.9,Nick Mitchell,32.6,Chris Stewart,58.5
NY-23,-25.8,Max H. Della Pia,37.1,Nick Langworthy,62.9
TX-21,-25.5,Claudia Andreana Zapata,37.2,Chip Roy,62.8
GA-12,-25.5,Elizabeth “Liz” Johnson,37.3,Rick W. Allen,62.7
TX-3,-25.3,Sandeep Srivastava,35.6,Keith Self,61.0
NV-2,-25.2,Elizabeth Mercedes Krause,35.8,Mark E. Amodei,61.0
CA-5,-24.9,Michael J. “Mike” Barkley,37.5,Tom McClintock,62.5
GA-1,-24.9,Wade Herring,37.5,Earl L. “Buddy” Carter,62.5
KY-6,-24.8,Geoffrey M. “Geoff” Young,37.6,Andy Barr,62.4
SC-2,-24.5,Judd Larkins,37.8,Joe Wilson,62.2
TX-24,-24.2,Jan McDowell,37.9,Beth Van Duyne,62.1
FL-16,-23.6,Jan Schneider,38.2,Vern Buchanan,61.8
FL-3,-23.4,Danielle Hawk,37.0,Kat Cammack,60.4
NE-1,-23.2,Patty Pansing Brooks,38.4,Mike Flood,61.6
OH-15,-23.0,Gary Josephson,38.5,Mike Carey,61.5
NC-7,-22.8,Charles Graham,38.6,David Rouzer,61.4
MN-8,-22.8,Jen Schultz,38.6,Pete Stauber,61.4
NY-24,-22.6,Steven Holden,38.7,Claudia Tenney,61.3
FL-21,-22.6,Corinna Balderramos Robinson,38.7,Brian Mast,61.3
NY-21,-22.5,Matt Castelli,38.7,Elise M. Stefanik,61.3
CO-5,-22.4,David Torres,36.8,Doug Lamborn,59.2
KS-2,-22.3,Patrick Schmidt,38.8,Jake LaTurner,61.2
VA-1,-22.1,Herbert C. “Herb” Jones Jr.,37.4,Rob J. Wittman,59.6
OH-10,-21.9,David Esrati,39.1,Mike Turner,60.9
CA-23,-21.7,Derek Marshall,39.1,Jay Obernolte,60.9
WA-5,-20.8,Natasha Hill,39.6,Cathy McMorris Rodgers,60.4
TX-23,-20.5,John Lira,37.7,Tony Gonzales,58.3
CA-48,-20.4,Stephen Houlahan,39.8,Darrell Issa,60.2
SC-1,-20.2,Annie Andrews,38.5,Nancy Mace,58.7
FL-7,-20.1,Karen Green,39.9,Cory Mills,60.1
NJ-2,-19.8,Tim Alexander,38.6,Jeff Van Drew,58.3
MI-4,-19.7,Joseph Alfonso,38.5,Bill Huizenga,58.2
VA-5,-19.6,Joshua M. Throneburg,40.2,Robert G. “Bob” Good,59.8
NC-9,-19.1,Ben Clark,40.5,Richard Hudson,59.5
WI-1,-19.1,Ann Roe,39.0,Bryan Steil,58.1
FL-4,-18.6,LaShonda “L.J.” Holloway,40.7,Aaron Bean,59.3
FL-28,-17.9,Robert Asencio,41.0,Carlos A. Gimenez,59.0
NC-11,-17.9,Jasmine Beach-Ferrara,39.5,Chuck Edwards,57.3
MO-2,-17.8,Trish Gunby,39.6,Ann Wagner,57.4
OH-7,-16.7,Matthew Diemer,41.7,Max Miller,58.3
MD-1,-16.5,Heather R. Mizeur,39.9,Andy Harris,56.5
PA-1,-16.1,Ashley Ehasz,41.9,Brian Fitzpatrick,58.1
FL-2,-14.9,Al Lawson,42.6,Neal Dunn,57.4
TN-5,-14.3,Heidi Campbell,41.3,Andy Ogles,55.6
CO-3,-13.8,Adam Frisch,43.1,Lauren Boebert,56.9
MN-1,-13.8,Jeff Ettinger,41.1,Brad Finstad,54.8
PA-10,-13.8,Shamaine Daniels,43.1,Scott Perry,56.9
CA-40,-13.7,Asif Mahmood,43.2,Young Kim,56.8
NY-11,-13.0,Max N. Rose,43.5,Nicole Malliotakis,56.5
CA-3,-12.9,Kermit Jones,43.5,Kevin Kiley,56.5
WA-3,-12.8,Marie Gluesenkamp Perez,43.6,Joe Kent,56.4
FL-15,-12.5,Alan M. Cohn,43.7,Laurel Lee,56.3
NY-2,-12.1,Jackie Gordon,43.9,Andrew R. Garbarino,56.1
IA-1,-10.3,Christina Bohannan,44.8,Mariannette Miller-Meeks,55.2
AZ-1,-10.1,Jevin Hodge,44.9,David Schweikert,55.1
CA-41,-10.1,Will Rollins,45.0,Ken Calvert,55.0
MT-1,-10.1,Monica Tranel,43.0,Ryan K. Zinke,53.1
FL-27,-9.9,Annette Taddeo,45.1,María Elvira Salazar,54.9
FL-13,-9.6,Eric Lynn,43.8,Anna Paulina Luna,53.4
IA-2,-9.6,Liz Mathis,45.2,Ashley Hinson,54.8
AZ-6,-9.4,Kirsten Engel,45.3,Juan Ciscomani,54.7
NE-2,-8.3,Tony Vargas,45.9,Don Bacon,54.1
CO-8,-8.0,Yadira Caraveo,44.1,Barbara Kirkmeyer,52.2
CA-45,-6.4,Jay F. Chen,46.8,Michelle Steel,53.2
WI-3,-6.3,Brad Pfaff,46.8,Derrick Van Orden,53.2
OH-1,-5.8,Greg Landsman,47.1,Steve Chabot,52.9
NY-1,-5.3,Bridget Fleming,47.3,Nicholas J. LaLota,52.7
OH-13,-5.1,Emilia Sykes,47.5,Madison Gesiotto Gilbert,52.5
MI-10,-4.9,Carl J. Marlinga,45.5,John James,50.4
NM-2,-4.8,Gabriel Vasquez,47.6,Yvette Herrell,52.4
NC-13,-4.2,Wiley Nickel,47.9,Bo Hines,52.1
NJ-7,-3.6,Tom Malinowski,48.2,Thomas H. Kean Jr.,51.8
AZ-2,-2.7,Tom O'Halleran,48.7,Eli Crane,51.3
CA-27,-2.1,Christy Smith,49.0,Mike Garcia,51.0
NY-22,-2.1,Francis Conole,49.0,Brandon M. Williams,51.0
CA-22,-1.9,Rudy Salas,49.0,David G. Valadao,51.0
OR-5,-1.2,Jamie McLeod-Skinner,49.4,Lori Chavez-DeRemer,50.6
IA-3,-1.0,Cindy Axne,49.5,Zach Nunn,50.5
PA-7,-0.8,Susan Wild,49.6,Lisa Scheller,50.4
VA-2,-0.3,Elaine G. Luria,49.8,Jen A. Kiggans,50.2
TX-34,-0.3,Vicente Gonzalez,48.6,Mayra Flores,48.9
NV-1,0.5,Dina Titus,49.0,Mark Robertson,48.4
PA-17,0.6,Chris Deluzio,50.3,Jeremy Shaffer,49.7
RI-2,0.7,Seth M. Magaziner,48.6,Allan W. Fung,47.9
TX-15,0.8,Michelle Vallejo,48.9,Monica De La Cruz,48.1
AK-1,1.0,Mary S. Peltola,47.8,Sarah Palin,24.8
NY-19,1.2,Josh Riley,50.6,Marcus Molinaro,49.4
PA-8,1.4,Matt Cartwright,50.7,Jim Bognet,49.3
MI-3,1.4,Hillary Scholten,48.7,John Gibbs,47.3
CT-5,1.5,Jahana Hayes,50.8,George Logan,49.2
NV-3,1.7,Susie Lee,50.8,April Becker,49.2
IL-17,1.8,Eric Sorensen,50.9,Esther Joy King,49.1
MI-7,2.2,Elissa Slotkin,49.8,Tom Barrett,47.6
NH-1,2.6,Chris Pappas,51.3,Karoline Leavitt,48.7
CA-13,2.9,Adam Gray,51.4,John Duarte,48.6
ME-2,2.9,Jared Forrest Golden,49.7,Bruce Poliquin,46.8
NY-3,3.2,Robert P. Zimmerman,51.6,George A.D. Santos,48.4
VA-7,3.2,Abigail A. Spanberger,51.6,Yesli I. Vega,48.4
NY-17,3.2,Sean Patrick Maloney,51.6,Michael V. Lawler,48.4
IL-6,3.2,Sean Casten,51.6,Keith Pekau,48.4
WA-8,3.5,Kim Schrier,51.8,Matt Larkin,48.2
MD-6,3.5,David J. Trone,51.8,Neil C. Parrott,48.2
OR-6,3.7,Andrea Salinas,49.5,Mike Erickson,45.8
NY-18,3.9,Pat Ryan,52.0,Colin J. Schmitt,48.0
MN-2,4.9,Angie Craig,51.0,Tyler Kistner,46.1
OH-9,4.9,Marcy Kaptur,52.5,J.R. Majewski,47.5
CA-49,5.0,Mike Levin,52.5,Brian Maryott,47.5
IL-14,5.3,Lauren Underwood,52.7,Scott R. Gryder,47.3
TX-28,5.4,Henry Cuellar,52.7,Cassy Garcia,47.3
NY-4,5.6,Laura A. Gillen,52.8,Anthony P. D'Esposito,47.2
MI-8,5.7,Daniel T. Kildee,51.3,Paul Junge,45.6
NV-4,5.8,Steven A. Horsford,52.9,Sam Peters,47.1
KS-3,6.0,Sharice Davids,51.6,Amanda L. Adkins,45.6
CA-47,6.1,Katie Porter,53.1,Scott Baugh,46.9
CA-9,6.5,Josh Harder,53.2,Tom Patti,46.8
NJ-3,6.7,Andy Kim,51.7,Bob Healey,45.0
IL-13,7.0,Nikki Budzinski,53.5,Regan Deering,46.5
OR-4,7.0,Val Hoyle,50.9,Alek Skarlatos,43.9
CO-7,7.2,Brittany Pettersen,51.4,Erik Aadland,44.1
GA-2,7.8,Sanford Bishop,53.9,Chris West,46.1
IN-1,7.9,Frank J. Mrvan,54.0,Jennifer-Ruth Green,46.0
NH-2,8.9,Ann McLane Kuster,54.5,Robert Burns,45.5
AZ-4,9.6,Greg Stanton,54.8,Kelly Cooper,45.2
VA-10,9.9,Jennifer T. Wexton,55.0,Hung Cao,45.0
NJ-5,10.6,Josh Gottheimer,53.6,Frank T. Pallotta,43.0
NC-1,10.9,Don Davis,55.5,Sandy Smith,44.5
FL-23,11.2,Jared Moskowitz,53.9,Joe Budd,42.7
NY-25,11.3,Joseph D. Morelle,55.7,La'Ron D. Singletary,44.3
CA-26,11.7,Julia Brownley,55.9,Matt Jacobs,44.1
CA-25,12.1,Raul Ruiz,56.1,Brian E. Hawkins,43.9
PA-12,12.2,Summer Lee,56.1,Mike Doyle,43.9
PA-6,12.4,Chrissy Houlahan,56.2,Guy Louis Ciarrocchi,43.8
IL-11,12.5,Bill Foster,56.3,Catalina Lauf,43.7
NC-6,12.6,Kathy Manning,55.0,Christian Castelli,42.4
NM-1,12.8,Melanie Ann Stansbury,56.4,Michelle Garcia Holmes,43.6
CT-2,13.0,Joe Courtney,54.9,Mike France,41.9
FL-9,13.2,Darren Soto,56.6,Scotty Moore,43.4
NJ-11,13.8,Mikie Sherrill,55.5,Paul DeGroot,41.7
CA-21,14.1,Jim Costa,57.0,Michael Maher,43.0
NJ-6,14.9,Frank Pallone Jr.,55.7,Susan M. Kiley,40.8
MD-3,14.9,John Sarbanes,57.5,Yuripzy Morgan,42.5
DE-1,15.1,Lisa Blunt Rochester,56.0,Lee Murphy,40.9
NM-3,15.3,Teresa Leger Fernandez,57.7,Alexis Martinez Johnson,42.3
MI-11,15.5,Haley Stevens,57.8,Mark Ambrose,42.2
NC-14,15.7,Jeff Jackson,57.8,Pat Harrigan,42.2
NY-20,16.1,Paul D. Tonko,58.1,Elizabeth L. Joy,41.9
IL-8,16.3,Raja Krishnamoorthi,58.2,Chris Dargis,41.8
MD-2,16.4,C.A. Dutch Ruppersberger,58.2,Nicolee Ambrose,41.8
PA-4,16.5,Madeleine Dean,58.3,Christian Nascimento,41.7
CO-6,16.9,Jason Crow,56.6,Steven Monahan,39.8
FL-14,16.9,Kathy Castor,58.5,James Judge,41.5
CA-6,17.1,Ami Bera,58.5,Tamika Hamilton,41.5
CT-3,17.1,Rosa L. DeLauro,57.0,Lesley DeNardis,39.9
GA-7,17.2,Lucy McBath,58.6,Mark Gonsalves,41.4
FL-22,17.4,Lois Frankel,58.7,Dan Franzese,41.3
MN-3,17.4,Dean Phillips,58.7,Tom Weiler,41.3
WA-6,17.7,Derek Kilmer,58.9,Elizabeth Kreiselmaier,41.1
TX-7,18.7,Lizzie Fletcher,59.4,Johnny Teague,40.6
MA-9,18.8,Bill Keating,59.4,Jesse G. Brown,40.6
NJ-1,18.8,Donald W. Norcross,57.9,Claire Gustafson,39.1
CT-4,19.2,Jim Himes,59.6,Jayme Stevenson,40.4
IL-10,19.3,Brad Schneider,59.6,Joseph Severino,40.4
FL-25,19.3,Debbie Wasserman Schultz,59.7,Carla Spalding,40.3
ME-1,19.8,Chellie M. Pingree,59.9,Edwin Thelander,40.1
WA-10,19.8,Marilyn Strickland,59.9,Keith R. Swank,40.1
KY-3,20.2,Morgan McGarvey,60.1,Stuart N. Ray,39.9
MO-5,20.7,"Emanuel Cleaver, II",58.8,Jacob Turk,38.1
NJ-9,20.7,Bill Pascrell Jr.,58.8,Billy Prempeh,38.1
TX-32,20.8,Colin Allred,60.4,Antonio Swad,39.6
AZ-7,21.0,Raúl Grijalva,60.5,Luis Pozzolo,39.5
CT-1,22.5,John B. Larson,59.8,Larry Lazor,37.3
WA-1,22.6,Suzan DelBene,61.3,Vincent J. Cavaleri,38.7
FL-10,23.3,Maxwell Alejandro Frost,59.8,Calvin B. Wimbish,36.5
CA-39,23.4,Mark Takano,61.7,Aja Smith,38.3
NC-2,23.8,Deborah K. Ross,61.9,Christine E. Villaverde,38.1
CA-38,23.9,Linda T. Sánchez,62.0,Eric J. Ching,38.0
MS-2,24.0,Bennie G. Thompson,62.0,Brian Flowers,38.0
CA-33,24.5,Pete Aguilar,62.2,John Mark Porter,37.8
SC-6,24.6,James E. “Jim” Clyburn,62.3,Duke Buckner,37.7
MI-6,24.9,Debbie Dingell,62.4,Whittney Williams,37.6
WA-2,24.9,Rick Larsen,62.4,Dan Matthews,37.6
NY-26,25.1,Brian Higgins,62.5,Steven L. Sams II,37.5
PA-5,25.1,Mary Gay Scanlon,62.5,David Galluch,37.5
CA-35,25.5,Norma J. Torres,62.7,Mike Cargile,37.3
TX-20,25.8,Joaquin Castro,62.9,Kyle Sinclair,37.1
NC-12,26.2,Alma S. Adams,63.1,Tyler Lee,36.9
MA-1,26.5,Richard E. Neal,63.3,Dean James Martilli,36.7
VA-4,26.7,A. Donald McEachin,63.3,Leon Benjamin Sr.,36.7
MA-3,26.9,Lori Loureiro Trahan,63.4,Dean A. Tran,36.6
CA-51,27.0,Sara Jacobs,63.5,Stan Caplan,36.5
MD-5,27.1,Steny Hoyer,63.6,Chris Palombi,36.4
CA-50,27.2,Scott Peters,63.6,Corey Gustafson,36.4
NC-4,27.3,Valerie P. Foushee,63.7,Courtney Geels,36.3
IN-7,27.5,André D. Carson,62.1,Angela Grabovsky,34.5
NJ-12,27.9,Bonnie Watson Coleman,62.5,Darius Mayfield,34.6
CA-24,27.9,Salud Carbajal,64.0,Brad Allen,36.0
MA-6,28.2,Seth Moulton,62.4,Bob May,34.2
VT-1,28.8,Becca Balint,58.3,Liam Madden,29.5
MA-2,28.8,James P. McGovern,64.4,Jeffrey A. Sossa-Paquette,35.6
CO-2,29.6,Joe Neguse,62.5,Marshall Dawson,32.9
CA-31,29.8,Grace F. Napolitano,64.9,Daniel Bocic Martinez,35.1
AL-7,29.9,Terrycina Sewell,63.6,Beatrice Nichols,33.6
HI-2,29.9,Jill N. Tokuda,63.0,Joe Akana,33.1
MN-4,30.0,Betty McCollum,65.0,May Lor Xiong,35.0
CA-46,30.5,Lou Correa,65.3,Christopher J. Gonzales,34.7
TX-16,30.6,Veronica Escobar,65.3,Irene Armendariz-Jackson,34.7
VA-3,30.7,Robert C. “Bobby” Scott,65.3,Terry T. Namkung,34.7
HI-1,31.2,Ed Case,65.6,Conrad Kress,34.4
OR-1,33.3,Suzanne Bonamici,66.7,Christopher A. Mann,33.3
NY-6,33.9,Grace Meng,67.0,Tom Zmich,33.0
WI-2,33.9,Mark Pocan,65.3,Erik Olsen,31.4
VA-11,34.2,Gerald E. “Gerry” Connolly,67.1,James G. “Jim” Myles,32.9
RI-1,35.7,David N. Cicilline,67.9,Allen R. Waters,32.1
IL-5,36.0,Mike Quigley,66.3,Tommy Hanson,30.3
MI-13,36.2,Shri Thanedar,66.0,Martell D. Bivings,29.8
CA-28,36.9,Judy Chu,68.5,Wes Hallman,31.5
MA-8,37.1,Stephen F. Lynch,68.5,Robert G. Burke,31.5
CA-7,37.5,Doris Matsui,68.7,Max Semenenko,31.3
CA-52,38.0,Juan Vargas,69.0,Tyler Geffeney,31.0
OH-3,38.0,Joyce Beatty,69.0,Lee R. Stahley,31.0
IL-3,38.1,Delia Ramirez,69.0,Justin Burau,31.0
TX-29,38.3,Sylvia Garcia,69.1,Robert Schafranek,30.9
TX-37,38.4,Lloyd Doggett,67.7,Jenny Garcia Sharon,29.2
TX-35,38.4,Greg Casar,69.2,Dan McQueen,30.8
IL-9,38.4,Janice D. Schakowsky,69.2,Maxwell “Max” Rice,30.8
CA-18,39.3,Zoe Lofgren,69.7,Peter Hernandez,30.3
WA-9,39.5,Adam Smith,69.7,Doug Basler,30.3
CA-4,39.8,Mike Thompson,69.9,Matt Brock,30.1
CA-19,39.8,Jimmy Panetta,69.9,Jeff Gorman,30.1
OR-3,39.9,Earl Blumenauer,67.8,Joanna Harbour,27.9
CA-36,40.3,Ted W. Lieu,70.2,Joe E. Collins III,29.8
TX-18,40.4,Sheila Jackson Lee,68.5,Carmen Maria Montiel,28.1
TN-9,41.2,Steve Cohen,68.6,Charlotte Bergmann,27.4
IL-1,41.4,Jonathan L. Jackson,70.7,Eric Carlson,29.3
IL-2,41.4,Robin Kelly,70.7,Thomas Lynch,29.3
CA-32,41.6,Brad Sherman,70.8,Lucie Lapointe Volotzky,29.2
PA-2,41.6,Brendan F. Boyle,70.8,Aaron Bashir,29.2
TX-33,42.2,Marc Veasey,69.5,Patrick David Gillespie,27.4
MI-12,42.2,Rashida Tlaib,69.5,Steven Elliott,27.3
CA-14,42.6,Eric Swalwell,71.3,Alison Hayden,28.7
NJ-8,43.0,Robert J. Menendez,68.9,Marcos Arroyo,25.9
NY-16,43.1,Jamaal Bowman,71.6,Miriam L. Flisser,28.4
MA-5,44.6,Katherine M. Clark,72.3,Caroline Colarusso,27.7
VA-8,45.2,Donald S. Beyer Jr.,70.9,Karina A. Lipsman,25.7
AZ-3,45.2,Ruben Gallego,72.6,Jeff Zink,27.4
WI-4,45.4,Gwen Moore,71.0,Tim Rogers,25.6
CA-42,45.8,Robert Garcia,72.9,John Briscoe,27.1
MD-8,46.2,Jamie Raskin,71.3,Gregory Thomas Coll,25.1
IL-4,46.2,Jesus “Chuy” Garcia,71.4,James Falakos,25.2
TX-30,46.6,Jasmine Crockett,71.2,James Rodgers,24.6
